"Time","GET /login 20ms","GET /signup 20ms","POST /logout 20ms","GET / 30ms","GET /home 30ms","POST /deposit 300ms","POST /payment 300ms","POST /login 2000ms","POST /signup 3000ms"
2023-07-17 18:02:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:02:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 18:02:50,100%,100%,,100%,96.8%,100%,100%,100%,100%
2023-07-17 18:03:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:03:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:03:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 18:03:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 18:03:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:03:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:04:00,100%,100%,,100%,100%,100%,100%,100%,
2023-07-17 18:04:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:04:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 18:04:30,100%,100%,,100%,100%,100%,100%,100%,
2023-07-17 18:04:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 18:04:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:05:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:05:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 18:05:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:05:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:05:40,100%,100%,,100%,100%,100%,100%,100%,
2023-07-17 18:05:50,100%,100%,100%,100%,96.2%,100%,100%,100%,100%
2023-07-17 18:06:00,100%,100%,100%,100%,96.0%,100%,100%,100%,
2023-07-17 18:06:10,100%,100%,,100%,100%,100%,100%,88.9%,100%
2023-07-17 18:06:20,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:06:30,100%,,,100%,100%,100%,100%,100%,
2023-07-17 18:06:40,100%,,100%,100%,100%,100%,100%,90%,100%
2023-07-17 18:06:50,100%,100%,100%,100%,100%,100%,100%,80%,100%
2023-07-17 18:07:00,100%,100%,,100%,100%,100%,100%,77.8%,
2023-07-17 18:07:10,100%,,100%,88.9%,100%,100%,100%,100%,100%
2023-07-17 18:07:20,100%,100%,100%,100%,100%,100%,100%,62.5%,
2023-07-17 18:07:30,100%,100%,100%,100%,100%,100%,100%,85.7%,100%
2023-07-17 18:07:40,100%,100%,,100%,100%,100%,100%,83.3%,100%
2023-07-17 18:07:50,100%,100%,100%,100%,100%,100%,100%,81.8%,100%
2023-07-17 18:08:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:08:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:08:20,100%,,,100%,100%,100%,100%,100%,
2023-07-17 18:08:30,100%,,,100%,100%,100%,100%,100%,
2023-07-17 18:08:40,100%,,100%,100%,100%,100%,100%,80%,
2023-07-17 18:08:50,100%,,,100%,100%,100%,100%,100%,100%
2023-07-17 18:09:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:09:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:09:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:09:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:09:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 18:09:50,100%,100%,,100%,100%,100%,100%,100%,
2023-07-17 18:10:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 18:10:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 18:10:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 18:10:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 18:10:40,100%,,100%,100%,100%,100%,100%,100%,
2023-07-17 18:10:50,100%,,,100%,100%,100%,100%,100%,100%
2023-07-17 18:11:00,100%,,,100%,97.0%,100%,100%,100%,
2023-07-17 18:11:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 18:11:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:11:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:11:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 18:11:50,100%,,,100%,100%,100%,100%,100%,
2023-07-17 18:12:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:12:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:12:20,100%,100%,,100%,100%,100%,100%,66.7%,100%
2023-07-17 18:12:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:12:40,100%,100%,,100%,100%,100%,100%,100%,
2023-07-17 18:12:50,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 18:13:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:13:10,100%,100%,100%,100%,100%,100%,100%,85.7%,100%
2023-07-17 18:13:20,100%,100%,100%,100%,95.8%,100%,100%,100%,100%
2023-07-17 18:13:30,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:13:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 18:13:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 18:14:00,100%,100%,100%,100%,100%,100%,100%,100%,
